Maths,Reading,Class.Type,Teaching.Experience,Sex,FreeLunch,Race
473,421,regular,12,girl,no,white
434,410,regular,8,boy,yes,black
489,443,regular.with.aide,3,boy,no,white
547,472,regular.with.aide,11,girl,no,white
468,445,small.class,2,girl,yes,white
528,439,small.class,8,girl,yes,white
454,398,regular.with.aide,0,boy,yes,black
434,407,regular,11,boy,yes,white
399,403,regular,12,boy,yes,black
429,400,small.class,19,boy,yes,white
392,398,small.class,7,boy,yes,white
399,407,small.class,6,boy,no,black
513,411,regular.with.aide,17,boy,yes,black
463,425,regular.with.aide,17,girl,no,white
392,391,regular,0,boy,yes,black
536,458,small.class,11,girl,yes,black
468,411,regular,8,boy,no,white
528,448,small.class,11,boy,no,white
489,456,regular,5,girl,no,white
478,439,regular.with.aide,11,boy,no,white
478,419,regular,13,girl,no,white
513,433,regular.with.aide,10,boy,no,black
463,465,regular,11,boy,yes,white
602,425,small.class,9,boy,yes,black
454,430,regular,10,girl,yes,black
513,456,regular,6,girl,yes,black
434,422,regular,2,boy,yes,black
449,422,regular,15,boy,no,white
478,422,regular,11,girl,no,white
384,384,small.class,10,boy,no,other
506,442,small.class,14,boy,yes,black
449,410,regular.with.aide,2,girl,yes,white
506,451,regular.with.aide,20,girl,yes,black
494,425,regular.with.aide,17,girl,no,white
576,456,small.class,6,boy,yes,black
418,419,regular,6,girl,yes,white
418,391,small.class,6,boy,yes,white
513,433,small.class,5,boy,yes,white
500,430,small.class,3,girl,yes,white
439,393,regular,8,boy,yes,white
473,439,regular.with.aide,5,boy,no,white
547,439,small.class,14,girl,yes,white
484,460,small.class,8,girl,no,white
384,400,regular.with.aide,3,boy,yes,black
459,402,small.class,3,boy,yes,black
434,419,regular.with.aide,7,girl,yes,white
384,402,small.class,1,girl,no,black
500,436,regular,4,girl,no,white
473,418,regular,4,boy,yes,white
500,419,regular,13,boy,no,white
494,427,small.class,21,boy,yes,black
429,400,regular.with.aide,5,boy,yes,black
489,433,regular,2,boy,no,white
444,422,regular,17,boy,no,white
463,410,regular,6,girl,yes,black
463,413,regular.with.aide,0,boy,yes,black
463,448,regular,1,girl,no,white
536,443,regular.with.aide,11,girl,no,white
500,453,small.class,12,boy,no,white
468,393,small.class,5,boy,yes,black
434,411,regular.with.aide,11,girl,yes,white
528,500,regular.with.aide,11,girl,yes,black
434,414,regular.with.aide,5,boy,no,white
418,402,regular,13,boy,no,white
473,418,small.class,20,boy,no,black
576,463,regular.with.aide,9,girl,no,white
444,410,small.class,8,boy,yes,white
468,410,regular.with.aide,0,boy,yes,black
454,402,regular.with.aide,13,girl,yes,white
520,476,regular.with.aide,20,girl,yes,black
468,442,regular,13,boy,no,white
463,427,regular.with.aide,3,girl,no,other
375,405,small.class,21,girl,yes,black
399,393,regular.with.aide,3,girl,yes,black
500,433,regular.with.aide,13,girl,yes,white
500,445,small.class,13,boy,no,black
494,448,regular,11,girl,yes,black
500,428,small.class,8,boy,no,white
468,411,small.class,13,boy,no,white
500,437,regular,13,girl,no,white
602,470,small.class,10,boy,no,white
528,433,regular,4,girl,yes,white
494,461,small.class,5,boy,no,other
463,413,regular.with.aide,21,girl,yes,white
559,478,regular,12,girl,yes,black
494,416,small.class,20,boy,no,white
468,450,regular,13,boy,no,white
528,463,small.class,18,boy,no,white
484,433,regular.with.aide,6,girl,no,white
494,410,regular.with.aide,1,boy,yes,black
500,448,regular,3,girl,no,white
439,448,regular,7,girl,yes,black
463,439,regular.with.aide,5,boy,no,black
459,440,regular,8,girl,yes,white
468,445,small.class,8,girl,yes,black
547,437,regular,10,boy,no,white
468,430,small.class,6,girl,yes,white
484,405,small.class,6,girl,yes,white
513,439,regular,5,boy,no,white
500,430,regular.with.aide,13,boy,yes,white
449,400,regular,1,boy,yes,white
478,416,regular.with.aide,5,girl,no,white
520,443,regular,0,boy,yes,black
449,405,regular,9,girl,yes,black
418,410,regular.with.aide,5,girl,no,black
484,436,regular,13,girl,no,white
513,437,small.class,2,girl,yes,white
405,400,small.class,2,girl,yes,black
454,402,regular,11,girl,yes,white
494,433,small.class,19,girl,no,white
520,424,regular.with.aide,12,girl,no,white
439,408,regular.with.aide,12,boy,yes,black
489,416,regular,8,boy,yes,white
494,422,small.class,12,boy,no,white
528,424,regular.with.aide,1,girl,yes,black
500,580,small.class,8,girl,no,white
429,397,regular,8,boy,yes,white
576,460,small.class,6,boy,no,white
463,398,regular,13,girl,yes,white
463,416,regular,8,boy,yes,black
489,487,regular,13,boy,no,white
434,419,regular,5,girl,no,white
500,447,regular.with.aide,11,girl,no,white
459,424,regular.with.aide,5,boy,yes,black
484,414,regular,6,boy,yes,white
520,465,small.class,14,girl,no,white
484,418,small.class,11,girl,yes,white
468,440,small.class,11,girl,no,white
459,434,regular,15,girl,yes,black
528,433,regular.with.aide,15,boy,yes,white
576,467,small.class,8,boy,no,white
459,430,regular.with.aide,7,girl,no,white
468,418,regular.with.aide,11,boy,no,white
489,418,regular,11,boy,no,white
459,411,small.class,9,girl,no,black
429,408,regular,6,boy,yes,black
423,408,small.class,10,boy,no,white
454,411,regular.with.aide,2,boy,yes,black
478,430,regular,12,girl,no,white
489,565,small.class,19,girl,no,white
463,416,regular.with.aide,3,boy,no,white
439,413,regular,8,boy,yes,black
473,448,small.class,10,boy,no,white
412,400,regular.with.aide,0,boy,yes,black
463,428,regular,13,girl,no,white
444,433,regular,12,boy,yes,white
520,440,small.class,8,boy,no,white
484,414,regular.with.aide,22,girl,yes,black
399,413,regular,8,boy,no,white
489,453,regular.with.aide,13,boy,no,white
520,408,regular,5,boy,no,white
434,403,regular,0,boy,no,white
576,545,small.class,19,boy,no,white
423,408,small.class,10,boy,yes,black
489,428,small.class,21,girl,yes,black
500,453,regular,6,girl,no,black
484,424,regular.with.aide,3,girl,no,white
506,460,regular.with.aide,18,girl,no,white
449,407,regular.with.aide,17,boy,yes,white
473,414,small.class,0,boy,no,white
520,483,small.class,11,girl,no,white
434,382,regular.with.aide,27,boy,no,white
434,397,small.class,2,boy,yes,black
489,425,small.class,3,boy,no,white
536,492,small.class,11,boy,yes,white
536,447,regular,4,girl,no,white
500,418,small.class,12,boy,yes,white
484,514,regular.with.aide,13,boy,yes,white
429,410,regular.with.aide,7,girl,yes,black
478,433,regular.with.aide,8,girl,no,white
429,408,regular,4,boy,no,white
528,463,regular.with.aide,3,girl,no,white
418,427,regular.with.aide,8,boy,no,white
434,397,regular,12,boy,yes,white
463,428,regular.with.aide,13,girl,yes,white
454,439,regular.with.aide,3,girl,no,white
423,397,regular.with.aide,11,girl,yes,white
602,538,small.class,3,girl,yes,black
434,405,regular,11,girl,yes,black
439,411,regular.with.aide,17,boy,no,white
500,413,small.class,2,girl,yes,black
463,518,regular.with.aide,10,boy,no,white
536,424,regular.with.aide,12,girl,yes,white
506,514,regular,14,boy,no,white
434,421,regular.with.aide,5,girl,yes,black
444,413,regular.with.aide,13,boy,no,white
489,467,regular.with.aide,5,boy,yes,white
449,411,regular,8,boy,yes,white
528,451,small.class,5,girl,no,white
489,439,regular,8,boy,no,white
576,507,regular,2,boy,no,white
506,451,regular.with.aide,6,girl,no,white
439,427,regular.with.aide,11,girl,yes,white
484,472,regular.with.aide,10,boy,no,white
478,402,regular.with.aide,17,boy,yes,white
484,424,regular,0,girl,yes,black
506,427,small.class,8,boy,yes,white
506,483,small.class,11,girl,yes,white
500,427,regular,15,boy,no,white
423,407,regular,10,boy,no,white
528,425,regular.with.aide,1,girl,yes,black
423,428,regular,4,boy,no,white
484,460,small.class,8,girl,yes,white
576,503,small.class,18,girl,no,white
528,445,regular.with.aide,14,boy,yes,white
468,433,regular.with.aide,21,boy,no,white
423,413,small.class,15,boy,yes,white
439,407,regular,13,girl,no,black
500,451,regular,0,girl,no,white
449,413,regular,10,boy,no,black
484,422,regular.with.aide,3,girl,no,white
520,467,regular.with.aide,5,girl,yes,black
418,395,regular,3,girl,yes,black
559,422,regular.with.aide,10,boy,yes,white
354,376,regular.with.aide,5,boy,yes,black
463,408,regular.with.aide,3,boy,no,white
429,403,small.class,4,girl,yes,white
449,431,regular,11,girl,yes,white
423,425,small.class,2,boy,no,white
520,439,regular,4,girl,yes,white
429,424,regular,13,boy,yes,black
473,434,regular,8,boy,no,white
536,443,regular,13,boy,no,white
484,425,regular,5,boy,no,white
473,443,small.class,0,boy,no,white
500,460,small.class,12,boy,yes,black
528,470,small.class,5,girl,no,white
439,413,small.class,1,boy,yes,black
536,497,small.class,6,girl,yes,white
506,458,small.class,8,girl,no,white
468,428,small.class,1,boy,yes,black
489,455,regular,10,boy,no,white
536,474,regular.with.aide,10,boy,no,black
484,425,regular.with.aide,8,girl,no,white
444,419,regular.with.aide,1,girl,yes,black
576,538,small.class,0,boy,no,white
454,405,regular,3,boy,no,white
478,443,regular,12,boy,yes,white
444,408,regular.with.aide,5,girl,yes,white
439,413,small.class,0,boy,no,white
576,440,regular.with.aide,10,boy,yes,black
489,436,small.class,13,boy,no,black
468,413,regular.with.aide,1,girl,yes,black
489,460,small.class,14,boy,no,white
528,448,regular.with.aide,8,boy,no,white
484,440,small.class,0,boy,no,white
434,403,small.class,14,boy,yes,white
473,403,regular.with.aide,27,girl,yes,white
559,461,small.class,15,boy,no,white
494,430,small.class,14,boy,no,black
412,422,small.class,2,girl,yes,white
559,440,regular,13,girl,no,white
463,425,regular,15,boy,yes,black
449,439,small.class,21,boy,yes,black
520,443,regular.with.aide,5,girl,no,white
489,460,regular.with.aide,1,girl,yes,black
500,448,regular,22,girl,no,white
459,453,regular.with.aide,7,boy,no,white
559,456,regular.with.aide,10,girl,no,black
494,450,small.class,21,boy,yes,white
547,461,regular.with.aide,1,girl,no,black
449,411,regular,8,boy,yes,black
468,433,regular,8,boy,yes,white
500,439,regular,13,boy,no,white
473,455,regular,12,girl,yes,black
513,450,small.class,12,girl,no,white
513,433,regular,11,girl,no,white
506,451,regular.with.aide,17,girl,no,white
478,451,regular.with.aide,4,girl,no,white
444,390,regular,0,boy,yes,black
500,419,small.class,2,girl,yes,black
399,400,regular.with.aide,17,girl,yes,black
484,421,regular,22,girl,no,white
520,427,regular,10,boy,no,white
473,443,small.class,3,boy,yes,black
489,436,regular.with.aide,1,boy,yes,black
520,476,regular.with.aide,18,girl,no,white
494,456,small.class,4,girl,yes,white
473,405,regular,12,boy,yes,white
439,410,regular,3,boy,no,black
528,487,small.class,11,girl,no,white
473,424,regular,11,girl,yes,white
547,472,regular,15,boy,no,white
547,450,small.class,6,boy,no,white
478,425,regular.with.aide,8,girl,no,white
434,390,regular.with.aide,10,girl,yes,white
473,416,regular.with.aide,10,boy,yes,black
528,476,small.class,6,boy,no,white
459,425,regular,3,boy,no,white
463,436,small.class,17,girl,no,white
506,421,regular.with.aide,8,boy,yes,black
439,400,regular.with.aide,9,boy,no,white
418,393,regular,0,boy,yes,white
489,437,regular,1,boy,no,white
559,485,small.class,14,girl,no,white
513,545,regular.with.aide,7,girl,no,white
412,391,small.class,12,boy,yes,black
484,411,small.class,9,girl,no,black
444,391,regular,12,boy,yes,black
449,421,small.class,1,boy,yes,black
489,425,regular.with.aide,0,boy,no,white
576,480,regular.with.aide,12,girl,no,white
520,427,regular.with.aide,2,boy,no,white
506,418,regular.with.aide,9,girl,no,white
559,458,regular.with.aide,11,boy,no,white
459,463,regular.with.aide,11,girl,no,white
536,458,regular,0,girl,yes,black
439,422,regular.with.aide,5,boy,no,white
478,490,small.class,10,boy,yes,black
449,408,regular,6,boy,yes,black
528,474,regular.with.aide,17,boy,no,white
484,434,regular.with.aide,5,boy,yes,black
468,419,regular,11,girl,yes,black
576,474,regular.with.aide,13,boy,no,white
484,431,small.class,8,boy,no,white
494,422,small.class,0,girl,no,black
520,478,small.class,17,boy,no,white
454,408,regular,16,girl,yes,white
444,403,regular,4,girl,no,white
520,480,regular,5,boy,no,white
494,465,small.class,14,boy,no,white
494,455,regular,0,girl,no,white
513,442,regular.with.aide,5,boy,no,white
484,460,regular,12,boy,no,white
463,430,regular,3,girl,no,white
434,397,regular.with.aide,2,girl,no,white
484,416,regular,6,boy,yes,black
520,448,small.class,8,girl,no,white
513,450,small.class,3,boy,yes,black
528,447,small.class,6,girl,yes,black
478,425,small.class,10,boy,yes,white
412,390,regular.with.aide,5,girl,yes,black
547,442,regular.with.aide,8,boy,no,white
444,434,small.class,12,girl,no,white
399,390,regular,6,boy,yes,white
459,408,regular,20,boy,yes,white
536,436,small.class,12,boy,yes,white
478,436,regular,15,girl,yes,black
602,495,regular,3,boy,no,white
454,422,small.class,5,girl,yes,black
559,440,regular,10,girl,yes,black
444,395,regular.with.aide,8,boy,no,white
536,428,regular,1,girl,no,black
418,421,small.class,12,girl,yes,white
468,410,regular.with.aide,5,boy,no,white
478,430,regular,12,girl,no,white
520,518,regular.with.aide,16,boy,no,white
429,425,regular,6,girl,no,white
459,405,small.class,13,boy,no,white
473,437,regular.with.aide,5,boy,yes,black
405,395,regular,8,girl,yes,white
520,416,regular,8,boy,no,white
547,434,small.class,6,girl,yes,black
489,465,regular,13,girl,no,white
500,431,regular.with.aide,7,girl,no,white
520,458,small.class,13,boy,no,white
478,414,small.class,22,girl,no,white
463,424,regular,11,girl,no,white
418,403,regular,11,girl,no,white
520,442,small.class,11,girl,no,white
559,472,small.class,8,girl,no,white
468,442,regular.with.aide,12,boy,yes,white
434,411,regular.with.aide,2,girl,yes,black
405,397,regular.with.aide,11,girl,yes,black
449,431,regular,2,girl,yes,black
500,445,regular.with.aide,1,girl,yes,black
602,490,regular.with.aide,10,girl,yes,black
478,448,regular,15,boy,no,white
547,497,regular.with.aide,13,girl,no,white
489,458,small.class,4,boy,no,white
444,433,small.class,8,girl,no,white
576,453,small.class,4,boy,no,white
513,476,regular,11,girl,yes,white
489,431,regular,4,boy,yes,white
484,453,regular,13,girl,no,white
468,440,regular,2,girl,yes,white
602,463,regular,20,boy,yes,white
434,408,small.class,7,girl,no,white
528,443,small.class,6,girl,no,white
439,388,regular,3,boy,yes,black
439,428,regular,6,boy,yes,black
506,418,regular.with.aide,13,girl,no,white
463,453,regular.with.aide,3,boy,no,white
536,428,regular,0,boy,no,white
506,456,regular.with.aide,12,boy,no,white
484,425,regular.with.aide,13,boy,no,white
506,455,regular.with.aide,0,boy,yes,black
434,407,small.class,12,boy,no,white
506,436,small.class,20,boy,no,white
444,422,regular,8,boy,no,white
513,431,small.class,1,boy,yes,black
506,425,regular,4,boy,no,white
500,440,small.class,4,girl,no,white
459,403,small.class,6,boy,yes,white
484,433,small.class,6,boy,no,white
444,422,regular,13,boy,yes,white
384,393,regular,6,boy,yes,black
439,456,regular,8,boy,no,white
459,421,regular,16,girl,no,white
463,393,regular,8,girl,yes,black
494,430,regular,13,girl,no,white
489,490,regular.with.aide,10,boy,yes,white
489,433,regular.with.aide,9,boy,yes,white
418,403,small.class,9,boy,yes,white
429,419,regular.with.aide,12,girl,yes,black
513,503,regular.with.aide,20,boy,no,white
473,430,regular.with.aide,11,girl,yes,white
484,451,regular,12,girl,no,white
454,413,regular.with.aide,21,girl,yes,white
392,393,regular,11,boy,yes,white
528,460,regular.with.aide,16,boy,yes,black
429,388,regular.with.aide,0,boy,yes,black
459,398,regular,9,girl,yes,black
484,445,small.class,8,boy,no,white
444,407,regular,11,girl,yes,black
500,437,regular.with.aide,27,girl,no,white
429,407,regular,5,boy,yes,black
506,431,regular,5,girl,yes,white
478,408,small.class,3,girl,yes,white
536,463,small.class,13,girl,yes,white
506,507,regular,5,girl,no,white
513,427,small.class,8,boy,no,white
494,418,regular,22,boy,no,white
494,395,regular.with.aide,2,boy,yes,white
528,456,regular.with.aide,14,boy,no,white
506,408,regular,12,boy,yes,white
513,463,regular,13,girl,yes,white
513,445,small.class,6,girl,yes,white
468,425,small.class,1,boy,yes,black
399,398,regular.with.aide,8,girl,no,white
478,445,small.class,3,girl,yes,black
423,416,regular,11,girl,yes,black
559,478,regular,19,girl,no,white
449,421,regular,13,girl,no,white
434,400,regular,9,girl,yes,black
434,414,regular,10,boy,no,white
434,414,small.class,2,girl,yes,black
602,480,regular.with.aide,24,girl,yes,black
478,428,regular.with.aide,5,boy,yes,black
513,440,small.class,6,girl,yes,white
547,495,regular,11,girl,no,white
513,448,small.class,6,girl,no,white
484,419,regular.with.aide,3,girl,no,white
412,408,regular,4,boy,no,white
473,430,regular,3,girl,no,white
602,461,regular.with.aide,15,boy,yes,white
473,437,regular.with.aide,12,boy,yes,white
547,448,small.class,27,girl,yes,white
559,461,small.class,20,boy,no,white
478,430,regular.with.aide,13,girl,no,white
423,403,regular.with.aide,5,boy,no,white
484,428,regular,13,boy,no,white
439,416,regular.with.aide,17,boy,yes,black
478,460,regular,10,boy,no,white
494,460,regular,11,girl,no,white
489,433,small.class,0,girl,yes,black
536,522,small.class,13,girl,no,white
454,403,small.class,10,girl,yes,white
434,431,regular.with.aide,12,boy,no,black
439,425,regular.with.aide,3,girl,yes,white
500,443,regular,3,boy,yes,white
454,402,regular.with.aide,8,boy,no,white
444,395,regular,3,boy,yes,black
449,403,regular,11,girl,yes,black
405,384,small.class,8,boy,yes,black
528,490,small.class,6,boy,no,white
528,455,regular.with.aide,7,boy,no,white
399,390,regular.with.aide,11,boy,yes,black
459,413,small.class,6,girl,yes,black
506,428,regular.with.aide,14,boy,no,white
489,442,regular,5,girl,yes,black
439,419,small.class,0,girl,no,white
602,495,small.class,5,girl,yes,black
444,436,small.class,13,boy,yes,black
484,436,regular.with.aide,9,girl,no,white
506,467,regular.with.aide,9,boy,no,black
454,443,small.class,2,boy,no,white
412,388,regular.with.aide,3,girl,no,white
494,439,small.class,8,boy,no,white
439,428,regular.with.aide,11,boy,yes,black
520,445,small.class,10,girl,no,white
459,414,small.class,8,boy,yes,white
468,430,regular,6,girl,yes,black
459,427,regular.with.aide,0,girl,yes,white
454,425,regular,2,boy,no,white
602,476,small.class,4,boy,yes,white
500,421,small.class,3,boy,no,white
559,448,small.class,6,boy,no,white
454,414,regular.with.aide,21,boy,yes,white
513,414,regular.with.aide,1,boy,yes,black
536,416,regular,6,boy,no,white
473,440,regular,3,boy,no,white
478,455,regular,16,boy,yes,white
478,433,regular,17,girl,yes,black
459,413,regular.with.aide,13,girl,yes,white
459,422,regular.with.aide,27,girl,yes,white
602,497,regular.with.aide,13,boy,no,white
463,458,small.class,17,boy,no,white
429,418,regular.with.aide,7,boy,no,white
506,436,small.class,1,girl,yes,black
399,380,regular,6,boy,yes,black
449,397,regular.with.aide,21,girl,yes,black
489,437,regular.with.aide,5,boy,no,black
434,418,regular.with.aide,17,girl,yes,black
547,460,small.class,4,boy,no,white
444,403,regular.with.aide,6,boy,yes,black
484,408,regular.with.aide,5,boy,no,white
418,413,regular.with.aide,14,girl,yes,white
478,422,regular,10,boy,yes,white
489,443,small.class,20,girl,no,black
444,386,regular,4,girl,yes,white
423,431,small.class,21,boy,yes,black
528,451,small.class,11,boy,no,white
513,487,regular.with.aide,8,girl,no,white
547,456,small.class,14,girl,no,white
547,427,regular,1,boy,no,white
449,413,regular.with.aide,12,boy,no,white
444,407,regular.with.aide,22,girl,yes,black
468,468,small.class,16,boy,no,white
454,418,regular,2,boy,no,white
602,465,regular.with.aide,0,girl,yes,black
444,410,regular.with.aide,14,girl,yes,white
449,413,regular.with.aide,17,girl,no,white
506,461,regular,8,girl,no,white
559,565,small.class,4,boy,yes,white
513,434,regular.with.aide,13,girl,no,white
423,376,regular,13,boy,no,white
463,427,regular.with.aide,15,girl,yes,white
500,419,regular,8,girl,no,white
520,478,regular.with.aide,10,girl,no,black
489,419,regular,10,girl,yes,white
576,627,regular.with.aide,14,boy,no,white
473,442,regular.with.aide,5,girl,no,white
520,442,regular,6,boy,yes,white
439,380,regular,12,boy,yes,black
449,418,regular.with.aide,16,boy,yes,black
513,483,small.class,7,girl,yes,white
478,478,regular,5,boy,no,white
484,428,regular,12,girl,no,white
500,456,regular,2,girl,yes,black
536,485,regular.with.aide,20,boy,yes,black
602,434,small.class,21,boy,no,white
547,478,regular.with.aide,24,girl,yes,black
478,410,regular,16,boy,yes,white
468,433,small.class,2,boy,no,white
459,405,regular,0,girl,no,black
454,431,regular,5,boy,no,white
506,431,regular,4,girl,yes,black
489,437,regular.with.aide,3,girl,no,white
500,440,small.class,14,girl,yes,black
547,467,regular.with.aide,9,boy,no,white
423,413,regular,13,boy,yes,black
459,419,regular.with.aide,6,boy,yes,black
506,461,small.class,8,boy,no,white
520,483,regular.with.aide,12,boy,no,white
444,410,regular.with.aide,10,boy,no,black
478,439,regular.with.aide,11,girl,yes,white
528,425,regular.with.aide,13,girl,yes,white
444,411,small.class,5,girl,yes,white
536,456,regular.with.aide,12,girl,yes,black
449,419,regular,13,boy,no,white
478,474,small.class,15,boy,yes,black
513,453,regular,15,girl,no,white
489,422,regular.with.aide,9,boy,no,white
494,402,regular.with.aide,15,boy,yes,black
494,416,small.class,8,boy,yes,white
506,428,regular.with.aide,15,boy,no,white
506,461,small.class,12,girl,no,white
405,382,regular.with.aide,9,girl,yes,black
484,460,regular.with.aide,18,girl,no,white
484,439,regular,5,boy,no,white
536,416,small.class,8,girl,no,white
484,442,small.class,12,girl,yes,white
576,474,small.class,6,girl,yes,black
500,483,regular,12,boy,yes,black
473,424,regular,13,boy,no,white
429,410,small.class,12,boy,yes,black
478,436,small.class,8,boy,no,white
506,448,regular.with.aide,12,boy,no,white
536,478,regular.with.aide,13,girl,no,white
484,407,small.class,11,boy,no,white
506,447,small.class,27,girl,yes,white
602,487,regular.with.aide,2,girl,no,white
500,424,regular.with.aide,1,boy,no,black
459,403,small.class,12,boy,yes,black
454,402,regular.with.aide,11,boy,yes,white
478,439,regular.with.aide,15,girl,no,white
513,461,regular,11,boy,no,white
513,474,small.class,2,boy,yes,black
384,416,regular.with.aide,22,boy,yes,black
576,468,regular.with.aide,1,girl,no,black
528,450,small.class,7,boy,no,white
626,461,regular.with.aide,9,girl,no,white
463,437,small.class,6,girl,yes,black
454,425,small.class,1,girl,no,white
449,413,regular,2,boy,no,white
484,522,regular.with.aide,0,girl,yes,black
478,418,regular,11,boy,yes,black
454,419,regular,6,boy,no,white
468,427,small.class,21,boy,no,white
500,436,regular,11,girl,no,black
520,474,small.class,12,girl,yes,white
449,422,regular.with.aide,5,girl,yes,white
412,413,regular.with.aide,7,boy,yes,black
536,450,small.class,9,boy,no,black
547,442,regular,13,girl,no,white
626,510,regular.with.aide,8,boy,no,black
513,478,small.class,8,girl,no,white
513,451,regular.with.aide,8,boy,yes,white
536,460,small.class,5,girl,no,white
500,447,regular,15,girl,no,white
626,518,small.class,3,boy,yes,black
484,405,small.class,13,boy,yes,white
449,418,regular,6,girl,no,white
449,416,regular.with.aide,8,girl,yes,white
500,424,regular,1,girl,yes,black
547,458,regular.with.aide,12,boy,yes,white
494,408,regular.with.aide,7,boy,no,white
439,405,small.class,10,girl,yes,black
494,455,regular.with.aide,9,girl,no,white
513,448,regular,6,boy,no,white
494,430,regular,24,boy,yes,black
459,405,small.class,1,girl,no,white
418,395,small.class,12,girl,no,white
418,407,small.class,8,girl,no,black
536,437,regular,0,boy,no,white
547,522,regular,4,boy,no,white
478,453,regular.with.aide,13,boy,yes,white
449,434,regular.with.aide,12,girl,no,black
506,456,regular,6,girl,no,black
484,440,regular.with.aide,8,boy,no,white
513,472,regular.with.aide,8,girl,yes,white
463,437,regular.with.aide,12,girl,yes,black
626,478,small.class,6,boy,yes,white
484,430,regular,24,girl,yes,black
375,386,regular.with.aide,5,girl,yes,black
444,403,regular,13,girl,no,white
520,442,small.class,8,boy,yes,white
434,395,regular,4,girl,yes,white
473,419,regular,16,boy,no,white
494,422,regular,12,girl,yes,white
520,442,small.class,6,boy,yes,black
489,453,small.class,4,boy,no,white
484,397,regular.with.aide,6,boy,no,white
392,403,regular.with.aide,0,girl,yes,black
520,447,regular,24,boy,yes,black
463,414,regular.with.aide,12,boy,no,white
602,495,small.class,4,boy,no,white
602,485,regular,8,girl,no,white
506,428,regular,11,boy,yes,black
444,431,small.class,21,girl,no,black
478,413,small.class,1,boy,yes,black
520,416,small.class,9,girl,yes,black
489,410,regular,6,boy,yes,black
449,408,small.class,11,boy,yes,white
444,418,regular,1,boy,no,white
489,436,regular,20,girl,yes,white
576,440,small.class,9,girl,no,white
429,408,regular.with.aide,14,boy,yes,white
528,445,regular.with.aide,12,boy,no,white
454,437,small.class,5,boy,yes,black
444,413,regular,14,girl,no,white
429,405,regular,12,boy,yes,white
494,400,regular,10,boy,yes,black
602,474,regular,20,girl,no,black
494,434,regular.with.aide,10,boy,no,black
484,451,regular.with.aide,0,boy,no,white
484,440,small.class,1,girl,no,white
506,424,regular,5,boy,yes,white
478,476,regular,8,boy,no,white
444,405,regular.with.aide,13,boy,yes,white
500,433,regular,0,girl,no,black
468,419,regular,5,girl,no,white
478,453,small.class,14,boy,yes,black
454,402,regular.with.aide,10,girl,yes,black
418,413,regular,4,boy,yes,black
454,408,regular.with.aide,10,girl,yes,black
473,418,small.class,12,girl,yes,white
513,545,regular.with.aide,12,boy,yes,white
559,434,regular.with.aide,9,boy,yes,white
489,434,small.class,14,girl,no,white
434,408,regular,13,boy,no,black
459,402,regular.with.aide,0,boy,yes,black
576,472,regular,1,girl,no,white
494,443,regular,11,girl,no,white
439,402,regular,17,girl,no,white
506,456,regular,12,boy,no,white
459,448,regular.with.aide,17,girl,no,white
478,436,regular.with.aide,0,boy,no,white
444,403,regular.with.aide,5,girl,no,white
454,416,small.class,12,girl,yes,white
478,503,regular.with.aide,0,boy,yes,black
520,451,regular.with.aide,18,boy,no,white
500,436,regular.with.aide,15,girl,yes,white
520,447,regular,22,girl,no,white
454,411,small.class,11,girl,yes,black
489,455,small.class,10,girl,no,white
444,418,small.class,15,boy,yes,white
459,448,regular,8,boy,no,black
478,431,regular,4,boy,no,white
434,430,regular.with.aide,5,boy,yes,white
463,448,regular.with.aide,13,boy,yes,black
478,439,regular,13,boy,no,white
384,398,regular.with.aide,7,girl,yes,black
513,424,regular.with.aide,3,boy,no,white
463,443,regular,20,girl,no,white
463,422,regular,6,boy,no,white
494,405,regular.with.aide,5,boy,yes,black
459,418,small.class,8,boy,no,white
500,443,small.class,11,boy,no,black
528,495,regular,13,girl,no,white
473,463,small.class,8,girl,no,white
444,402,small.class,13,girl,yes,white
463,413,regular,6,girl,yes,black
626,554,regular,11,girl,no,white
459,422,regular.with.aide,12,boy,yes,white
423,393,small.class,1,boy,yes,black
513,453,regular.with.aide,16,girl,no,white
320,315,regular,3,boy,yes,white
576,458,small.class,14,girl,no,white
449,445,regular,13,girl,no,white
520,433,regular.with.aide,12,girl,no,white
434,400,regular,13,girl,yes,white
520,437,regular,6,girl,no,white
473,470,regular,13,boy,no,white
468,422,regular,5,girl,yes,black
439,416,regular,11,boy,yes,white
468,418,regular.with.aide,7,girl,yes,black
536,422,regular,20,boy,no,white
412,397,small.class,2,girl,yes,black
528,467,regular,12,boy,yes,black
602,492,small.class,4,girl,no,white
468,450,regular.with.aide,10,boy,yes,black
513,453,regular,22,girl,no,white
520,447,regular.with.aide,11,boy,yes,black
454,414,regular.with.aide,3,boy,yes,black
434,391,regular.with.aide,6,boy,yes,black
478,431,small.class,9,boy,yes,white
559,443,regular,8,boy,no,white
459,400,regular,11,girl,yes,black
468,430,regular,22,boy,yes,white
473,460,regular.with.aide,16,girl,no,white
500,425,regular,10,boy,yes,white
528,495,regular,19,girl,no,white
434,397,regular,11,boy,yes,black
449,411,regular.with.aide,10,boy,yes,white
513,437,regular,12,girl,no,white
454,418,regular,4,boy,no,white
484,465,regular,16,girl,yes,white
478,425,regular,8,girl,yes,white
434,424,regular,24,boy,yes,black
454,398,small.class,19,boy,yes,white
547,461,regular.with.aide,11,girl,yes,white
494,456,small.class,7,girl,yes,white
